"Question","Answer"
"What is the INCOSE definition of Systems Engineering?","An interdisciplinary approach and means to enable the realization of successful systems, focusing on customer needs and required functionality early in the development cycle."
"What is the ISO/IEC/IEEE 15288 definition of Systems Engineering?","A set of processes, methods, and techniques for defining, realising, sustaining, and retiring a system-of-interest."
"Define System-of-Interest (SoI).","The specific system that is being analysed, designed, or developed in the context of a project or study."
"What is an Enabling System?","A system that provides services needed to support the system-of-interest during one or more life cycle stages (e.g., test benches or training simulators)."
"What is Emergence in Systems Engineering?","A system-level property that arises from interactions among system elements but is not possessed by any single element alone."
"Define the SE principle of Holism.","The principle that a system must be understood and managed as a whole, as the whole is different from the sum of its parts."
"Contrast Systems Thinking with Reductionist Thinking.","Systems thinking views issues as part of a larger dynamic whole, while reductionist thinking breaks problems into parts and assumes the whole equals the sum of parts."
"What is the purpose of Abstraction?","To suppress irrelevant detail appropriate to the problem level to reduce cognitive complexity."
"Define Encapsulation.","Hiding the internal implementation of a system element behind a well-defined interface."
"What is Modularity?","Designing a system as a set of loosely coupled, highly cohesive elements."
"Explain the SE principle of Hierarchy.","The principle that systems nest within systems, creating a structure of elements within subsystems, within systems."
"What is Negative (Balancing) Feedback?","Feedback that reduces deviation from a goal and stabilises a system, such as a thermostat."
"What is Positive (Reinforcing) Feedback?","Feedback that amplifies deviation from a reference and can lead to exponential growth or runaway loops."
"Define Separation of Concerns.","Addressing different dimensions of a system, such as function, performance, or safety, independently to allow parallel work."
"Name the six ISO 15288 life cycle stages in order.","Concept, Development, Production, Utilization, Support, and Retirement."
"What is the primary objective of the Concept Stage?","To identify stakeholder needs, explore feasibility, and confirm there is confidence in knowing what to build."
"What is the focus of the Retirement Stage?","The safe and compliant decommissioning, disposal, or transition of the system."
"What is the critical distinction between a Stage and a Process?","A stage is a period of time in the life cycle, whereas a process is a set of activities that can apply across multiple stages."
"Explain the Cost of Change Curve.","The cost of fixing errors rises exponentially as the life cycle progresses, making early requirements definition critical."
"What is Tailoring in Systems Engineering?","The documented process of adapting the generic life cycle model to fit a specific project's context, size, and risk."
"What is a ConOps (Concept of Operations)?","A document describing how stakeholders intend to use the system, written in operational language rather than engineering specs."
"Why is the modal verb 'Shall' critical in requirements?","Because it denotes a mandatory binding statement or contractual obligation."
"Name four qualities of a good requirement per ISO 29148.","Necessary, Unambiguous, Achievable, Complete, Singular, Verifiable, or Traceable."
"What is the purpose of a Traceability Matrix?","To link requirements to their parent needs and child designs/tests, ensuring all requirements are satisfied and changes are managed."
"What is an N2 (N-squared) Diagram?","A matrix tool used to discover and visualize all functional or physical interfaces in a system."
"Define Viewpoint per ISO 42010.","A specification or template for how to create a particular type of view."
"Define View per ISO 42010.","A representation of a system from the perspective of a related set of concerns, created by applying a viewpoint."
"What question does Verification answer?","'Did we build the system right?' (against the requirements specification)."
"What question does Validation answer?","'Did we build the right system?' (against stakeholder needs)."
"What does the acronym IADT stand for in verification?","Inspection, Analysis, Demonstration, and Test."
"What is the Big Bang Integration Strategy?","An approach where all elements are integrated simultaneously; it is risky because failures are hard to isolate."
"Describe Top-Down Integration.","Integrating from the highest-level assembly down, using stubs for lower-level elements to test control logic early."
"When is the Functional Baseline established?","After the System Requirements Review (SRR)."
"When is the Allocated Baseline established?","After the Preliminary Design Review (PDR)."
"When is the Product Baseline established?","After the Critical Design Review (CDR)."
"What is the formula for Risk?","Risk = Probability × Consequence (P × C)."
"Distinguish between Risk Mitigation and Risk Contingency.","Mitigation reduces risk before it occurs, while contingency is the pre-planned response if it occurs."
"Contrast Quality Assurance (QA) and Quality Control (QC).","QA is process-focused (auditing processes), while QC is product-focused (inspecting outputs)."
"What are Technical Performance Measures (TPMs)?","Key technical parameters tracked against a planned profile to monitor progress and technical risks."
"What is a 'Wicked Problem'?","A problem that is difficult to solve due to incomplete, contradictory, or changing requirements."
"What is an Open System?","A system that exchanges matter, energy, or information with its external environment."
"Define System Element.","Any constituent part of a system, including hardware, software, data, processes, personnel, or facilities."
"What is a System Boundary?","The line of demarcation separating the system-of-interest from its greater context or environment."
"What architecture framework is used by the US Department of Defense?","DoDAF (Department of Defense Architecture Framework)."
"Distinguish Functional Architecture from Physical Architecture.","Functional architecture is what the system must do; physical architecture is how it is physically realised."
"What does the '7 +/- 2' rule suggest for hierarchy?","That decomposition at any level should be limited to between 5 and 9 subordinate elements."
"Define the Framing cognitive bias.","When the way a question is described influences the responder's decision or response."
"Define the Anchoring cognitive bias.","Allowing an initial estimate to disproportionately affect final estimates or decisions."
"Define Confirmation Bias.","Seeking or weighting data that confirms existing beliefs while ignoring contradictory evidence."
"What is the typical ROI for SE effort according to the 2013 Honour study?","3.5 to 1."
